itemId	category
0	2
1	2
2	2
3	2
4	2
5	2
6	2
7	2
8	0
9	0
10	0
11	1
12	1
13	1
14	5
15	5
16	5
17	2
18	2
19	2
20	2
21	3
22	2
23	2
24	2
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	1
34	1
35	1
36	1
37	5
37	6
38	6
39	2
40	2
41	2
42	2
43	2
44	2
45	2
46	0
47	2
48	2
49	2
50	0
51	0
52	0
53	2
54	2
55	2
56	2
57	2
58	2
59	8
60	8
61	8
62	0
63	0
64	5
65	5
66	5
67	5
68	5
69	5
70	5
71	5
72	5
73	0
74	0
75	6
76	6
77	6
78	6
79	6
80	0
81	0
82	6
83	6
84	6
85	6
86	6
87	2
88	2
89	5
90	5
91	5
92	5
93	2
94	2
95	2
96	2
97	6
98	6
99	6
100	5
101	1
102	1
103	1
104	4
105	4
106	2
107	2
108	2
109	2
110	2
111	6
112	6
113	0
114	0
115	8
116	0
117	5
118	8
119	0
120	0
121	0
121	1
121	17
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	1
136	1
136	17
137	1
138	1
139	1
140	1
141	4
142	4
143	4
144	4
145	2
146	2
147	2
148	2
149	1
150	1
151	1
152	4
153	4
154	4
155	0
156	0
157	0
158	2
159	2
160	2
161	2
162	8
163	8
164	8
165	0
166	1
167	1
168	2
169	0
170	0
171	0
172	0
173	2
174	12
175	7
176	4
177	4
178	4
179	2
180	2
181	0
182	0
183	0
184	0
185	3
186	0
187	0
188	0
189	2
190	2
191	0
192	0
193	5
194	0
195	5
196	5
197	5
198	5
199	0
200	2
201	2
202	9
203	9
204	9
205	3
206	5
207	5
208	4
209	4
210	2
211	2
212	1
213	1
214	1
215	8
216	8
217	2
218	0
219	2
220	2
221	2
222	2
223	4
224	4
225	4
226	5
227	5
228	5
229	5
230	5
231	5
232	0
233	0
234	0
235	2
236	2
237	2
238	2
239	2
240	2
241	2
242	2
243	2
244	2
245	2
246	2
247	2
248	2
249	2
250	2
251	2
252	2
253	2
254	2
255	8
256	2
257	2
258	2
259	5
260	5
261	2
262	2
263	2
264	2
265	2
266	2
267	4
268	4
269	4
270	4
271	4
272	4
273	2
274	2
275	2
276	7
277	4
278	4
279	6
280	6
281	0
282	0
283	0
284	1
285	2
286	2
287	0
288	0
289	0
290	0
291	2
292	8
293	8
294	2
295	2
296	2
297	2
298	5
299	5
300	2
301	2
302	3
303	4
304	4
305	2
306	2
307	2
308	2
309	2
310	2
311	2
312	2
313	0
314	0
315	0
316	5
317	5
318	5
319	5
320	5
321	1
322	1
323	0
324	6
325	2
326	2
327	6
328	6
329	6
330	6
331	6
332	5
333	5
334	5
335	2
336	2
337	5
338	6
339	5
340	2
341	2
342	5
343	0
344	2
345	2
346	2
347	2
348	2
349	2
350	2
351	2
352	2
353	2
354	5
355	2
356	2
357	1
358	1
359	1
360	2
361	2
362	2
363	2
364	8
365	8
366	2
367	2
368	2
369	2
370	4
371	2
372	5
373	5
374	5
375	5
376	5
377	5
378	5
379	5
380	5
381	5
382	5
383	5
384	5
385	5
386	5
387	5
388	5
389	5
390	5
391	2
392	5
393	1
394	1
395	1
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	2
404	2
405	8
406	8
407	0
408	0
409	0
410	0
411	7
412	7
413	7
414	7
415	7
416	7
417	6
418	2
419	2
420	2
421	2
422	2
423	2
424	2
425	2
426	2
427	2
428	2
429	2
430	2
431	2
432	2
433	2
434	2
435	2
436	7
437	2
438	2
439	0
440	2
441	2
442	2
442	14
443	2
444	2
445	2
446	2
447	2
448	2
449	5
450	5
451	6
452	6
453	6
454	6
455	6
456	6
457	2
458	2
459	2
460	2
461	2
462	0
463	0
464	4
465	1
466	1
467	8
468	8
469	1
470	2
471	5
472	2
473	5
474	5
475	2
476	2
477	6
478	6
479	5
480	5
481	5
482	4
483	4
484	4
485	4
486	0
487	0
488	4
489	4
490	0
491	3
492	0
493	2
494	2
495	5
496	5
497	5
498	5
499	0
500	0
501	0
502	6
503	2
504	2
505	2
506	2
507	2
508	2
509	4
510	4
511	5
512	0
513	8
514	2
515	2
516	0
517	0
518	2
519	5
520	2
521	1
522	1
523	1
524	1
525	12
526	7
527	0
528	0
529	0
530	0
531	0
532	0
533	4
534	4
535	4
536	4
537	4
538	4
539	7
540	2
